,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,total,,,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
PCA1,0.062882617,0.405175622,0.305475054,0.426719961,-0.339125344,0.364849011,0.384665932,0.40048081,2.011123664,,PCA1,,0.405175622,0.305475054,0.426719961,-0.339125344,0.364849011,0.384665932,0.40048081
PCA2,-0.812154658,0.268136679,-0.113443415,0.055397474,0.425530257,-0.006985383,0.267218603,-0.006218269,0.077481286,,PCA2,-0.812154658,0.268136679,,,0.425530257,,0.267218603,
PCA3,0.26127468,-0.102715093,-0.712582216,-0.048800574,0.282809512,0.433193367,0.173556852,0.336556898,0.623293427,,PCA3,0.26127468,,-0.712582216,,0.282809512,0.433193367,,0.336556898
PCA4,0.396989187,0.119768497,0.18677589,-0.138039228,0.423832294,-0.54699911,0.509465119,0.188993342,1.140785991,,PCA4,0.396989187,,,,0.423832294,-0.54699911,0.509465119,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,,,,,,,,,,,
PCA1,,,,,,,,,,,,,,,,,,,
PCA2,,,,,,,,,,,,,,,,,,,
PCA3,,,,,,,,,,,,,,,,,,,
PCA4,,,,,,,,,,,,,,,,,,,
